aeropuerto,nacionalidad,residente,continentes,meses,cantidad,meses_numero,year,fecha,id_aeropuerto,id_continentes
Punta cana,Curazao,NO RESIDENTES,America central y el caribe,Enero,0,1,2015,2015-01-01,5,1
Punta cana,El Salvador,NO RESIDENTES,America central y el caribe,Enero,35,1,2015,2015-01-01,5,1
Punta cana,Guadalupe,NO RESIDENTES,America central y el caribe,Enero,0,1,2015,2015-01-01,5,1
Punta cana,Guatemala,NO RESIDENTES,America central y el caribe,Enero,65,1,2015,2015-01-01,5,1
Punta cana,Haití,NO RESIDENTES,America central y el caribe,Enero,0,1,2015,2015-01-01,5,1
Punta cana,Honduras,NO RESIDENTES,America central y el caribe,Enero,5,1,2015,2015-01-01,5,1
Punta cana,Jamaica,NO RESIDENTES,America central y el caribe,Enero,45,1,2015,2015-01-01,5,1
Punta cana,Martinica,NO RESIDENTES,America central y el caribe,Enero,0,1,2015,2015-01-01,5,1
Punta cana,Panamá,NO RESIDENTES,America central y el caribe,Enero,569,1,2015,2015-01-01,5,1
Punta cana,Puerto  Rico,NO RESIDENTES,America central y el caribe,Enero,1203,1,2015,2015-01-01,5,1
Punta cana,San Martin,NO RESIDENTES,America central y el caribe,Enero,0,1,2015,2015-01-01,5,1
Punta cana,Trinidad y Tobago,NO RESIDENTES,America central y el caribe,Enero,5,1,2015,2015-01-01,5,1
Punta cana,"Virgenes Americanas, Islas",NO RESIDENTES,America central y el caribe,Enero,0,1,2015,2015-01-01,5,1
Punta cana,Otros,NO RESIDENTES,America central y el caribe,Enero,45,1,2015,2015-01-01,5,1
Punta cana,Argentina,NO RESIDENTES,America del sur,Enero,11506,1,2015,2015-01-01,5,3
Punta cana,Bolivia,NO RESIDENTES,America del sur,Enero,1058,1,2015,2015-01-01,5,3
Punta cana,Brasil,NO RESIDENTES,America del sur,Enero,12114,1,2015,2015-01-01,5,3
Punta cana,Chile,NO RESIDENTES,America del sur,Enero,6840,1,2015,2015-01-01,5,3
Punta cana,Colombia,NO RESIDENTES,America del sur,Enero,3683,1,2015,2015-01-01,5,3
Punta cana,Ecuador,NO RESIDENTES,America del sur,Enero,80,1,2015,2015-01-01,5,3
Punta cana,Perú,NO RESIDENTES,America del sur,Enero,2221,1,2015,2015-01-01,5,3
Punta cana,Uruguay,NO RESIDENTES,America del sur,Enero,260,1,2015,2015-01-01,5,3
Punta cana,Venezuela,NO RESIDENTES,America del sur,Enero,1247,1,2015,2015-01-01,5,3
Punta cana,Otros,NO RESIDENTES,America del sur,Enero,275,1,2015,2015-01-01,5,3
Punta cana,China,NO RESIDENTES,Asia,Enero,0,1,2015,2015-01-01,5,4
Punta cana,Corea del Sur,NO RESIDENTES,Asia,Enero,0,1,2015,2015-01-01,5,4
Punta cana,India,NO RESIDENTES,Asia,Enero,25,1,2015,2015-01-01,5,4
Punta cana,Israel,NO RESIDENTES,Asia,Enero,15,1,2015,2015-01-01,5,4
Punta cana,Japón,NO RESIDENTES,Asia,Enero,5,1,2015,2015-01-01,5,4
Punta cana,Taiwan,NO RESIDENTES,Asia,Enero,0,1,2015,2015-01-01,5,4
Punta cana,Otros,NO RESIDENTES,Asia,Enero,20,1,2015,2015-01-01,5,4
Punta cana,Alemania,NO RESIDENTES,Europa,Enero,17117,1,2015,2015-01-01,5,5
Punta cana,Austria,NO RESIDENTES,Europa,Enero,1277,1,2015,2015-01-01,5,5
Punta cana,Bélgica,NO RESIDENTES,Europa,Enero,2315,1,2015,2015-01-01,5,5
Punta cana,Bulgaria,NO RESIDENTES,Europa,Enero,95,1,2015,2015-01-01,5,5
Punta cana,Dinamarca,NO RESIDENTES,Europa,Enero,270,1,2015,2015-01-01,5,5
Punta cana,Escocia,NO RESIDENTES,Europa,Enero,0,1,2015,2015-01-01,5,5
Punta cana,España,NO RESIDENTES,Europa,Enero,6765,1,2015,2015-01-01,5,5
Punta cana,Finlandia,NO RESIDENTES,Europa,Enero,10,1,2015,2015-01-01,5,5
Punta cana,Francia,NO RESIDENTES,Europa,Enero,22587,1,2015,2015-01-01,5,5
Punta cana,Grecia,NO RESIDENTES,Europa,Enero,0,1,2015,2015-01-01,5,5
Punta cana,Holanda,NO RESIDENTES,Europa,Enero,1532,1,2015,2015-01-01,5,5
Punta cana,Hungría,NO RESIDENTES,Europa,Enero,255,1,2015,2015-01-01,5,5
Punta cana,Inglaterra,NO RESIDENTES,Europa,Enero,8628,1,2015,2015-01-01,5,5
Punta cana,Irlanda,NO RESIDENTES,Europa,Enero,65,1,2015,2015-01-01,5,5
Punta cana,Italia,NO RESIDENTES,Europa,Enero,684,1,2015,2015-01-01,5,5
Punta cana,Luxemburgo,NO RESIDENTES,Europa,Enero,20,1,2015,2015-01-01,5,5
Punta cana,Noruega,NO RESIDENTES,Europa,Enero,5,1,2015,2015-01-01,5,5
Punta cana,Polonia,NO RESIDENTES,Europa,Enero,1437,1,2015,2015-01-01,5,5
Punta cana,Portugal,NO RESIDENTES,Europa,Enero,175,1,2015,2015-01-01,5,5
Punta cana,República Checa,NO RESIDENTES,Europa,Enero,380,1,2015,2015-01-01,5,5
Punta cana,Rumania,NO RESIDENTES,Europa,Enero,10,1,2015,2015-01-01,5,5
Punta cana,Rusia,NO RESIDENTES,Europa,Enero,12417,1,2015,2015-01-01,5,5
Punta cana,Suecia,NO RESIDENTES,Europa,Enero,1312,1,2015,2015-01-01,5,5
Punta cana,Suiza,NO RESIDENTES,Europa,Enero,1717,1,2015,2015-01-01,5,5
Punta cana,Ucrania,NO RESIDENTES,Europa,Enero,275,1,2015,2015-01-01,5,5
Punta cana,Otros,NO RESIDENTES,Europa,Enero,10,1,2015,2015-01-01,5,5
Punta cana,Australia,NO RESIDENTES,Resto del mundo,Enero,5,1,2015,2015-01-01,5,6
Punta cana,Otros,NO RESIDENTES,Resto del mundo,Enero,0,1,2015,2015-01-01,5,6
La romana,Republica Dominicana,NO RESIDENTES,America central y el caribe,Enero,357,1,2015,2015-01-01,2,1
La romana,Canadá,NO RESIDENTES,America del norte,Enero,3214,1,2015,2015-01-01,2,2
La romana,Estados Unidos,NO RESIDENTES,America del norte,Enero,1400,1,2015,2015-01-01,2,2
La romana,México,NO RESIDENTES,America del norte,Enero,8,1,2015,2015-01-01,2,2
La romana,Aruba,NO RESIDENTES,America central y el caribe,Enero,0,1,2015,2015-01-01,2,1
La romana,"Caicos y Turcas, Islas",NO RESIDENTES,America central y el caribe,Enero,0,1,2015,2015-01-01,2,1
La romana,Costa Rica,NO RESIDENTES,America central y el caribe,Enero,0,1,2015,2015-01-01,2,1
La romana,Cuba,NO RESIDENTES,America central y el caribe,Enero,6,1,2015,2015-01-01,2,1
La romana,Curazao,NO RESIDENTES,America central y el caribe,Enero,0,1,2015,2015-01-01,2,1
La romana,El Salvador,NO RESIDENTES,America central y el caribe,Enero,1,1,2015,2015-01-01,2,1
La romana,Guadalupe,NO RESIDENTES,America central y el caribe,Enero,0,1,2015,2015-01-01,2,1
La romana,Guatemala,NO RESIDENTES,America central y el caribe,Enero,0,1,2015,2015-01-01,2,1
La romana,Haití,NO RESIDENTES,America central y el caribe,Enero,3,1,2015,2015-01-01,2,1
La romana,Honduras,NO RESIDENTES,America central y el caribe,Enero,3,1,2015,2015-01-01,2,1
La romana,Jamaica,NO RESIDENTES,America central y el caribe,Enero,0,1,2015,2015-01-01,2,1
La romana,Martinica,NO RESIDENTES,America central y el caribe,Enero,0,1,2015,2015-01-01,2,1
La romana,Panamá,NO RESIDENTES,America central y el caribe,Enero,0,1,2015,2015-01-01,2,1
La romana,Puerto  Rico,NO RESIDENTES,America central y el caribe,Enero,0,1,2015,2015-01-01,2,1
La romana,San Martin,NO RESIDENTES,America central y el caribe,Enero,0,1,2015,2015-01-01,2,1
La romana,Trinidad y Tobago,NO RESIDENTES,America central y el caribe,Enero,0,1,2015,2015-01-01,2,1
La romana,"Virgenes Americanas, Islas",NO RESIDENTES,America central y el caribe,Enero,0,1,2015,2015-01-01,2,1
La romana,Otros,NO RESIDENTES,America central y el caribe,Enero,2,1,2015,2015-01-01,2,1
La romana,Argentina,NO RESIDENTES,America del sur,Enero,50,1,2015,2015-01-01,2,3
La romana,Bolivia,NO RESIDENTES,America del sur,Enero,1,1,2015,2015-01-01,2,3
La romana,Brasil,NO RESIDENTES,America del sur,Enero,86,1,2015,2015-01-01,2,3
La romana,Chile,NO RESIDENTES,America del sur,Enero,8,1,2015,2015-01-01,2,3
La romana,Colombia,NO RESIDENTES,America del sur,Enero,12,1,2015,2015-01-01,2,3
La romana,Ecuador,NO RESIDENTES,America del sur,Enero,1,1,2015,2015-01-01,2,3
La romana,Perú,NO RESIDENTES,America del sur,Enero,1,1,2015,2015-01-01,2,3
La romana,Uruguay,NO RESIDENTES,America del sur,Enero,0,1,2015,2015-01-01,2,3
La romana,Venezuela,NO RESIDENTES,America del sur,Enero,238,1,2015,2015-01-01,2,3
La romana,Otros,NO RESIDENTES,America del sur,Enero,1,1,2015,2015-01-01,2,3
La romana,China,NO RESIDENTES,Asia,Enero,3,1,2015,2015-01-01,2,4
La romana,Corea del Sur,NO RESIDENTES,Asia,Enero,4,1,2015,2015-01-01,2,4
La romana,India,NO RESIDENTES,Asia,Enero,0,1,2015,2015-01-01,2,4
La romana,Israel,NO RESIDENTES,Asia,Enero,4,1,2015,2015-01-01,2,4
La romana,Japón,NO RESIDENTES,Asia,Enero,0,1,2015,2015-01-01,2,4
La romana,Taiwan,NO RESIDENTES,Asia,Enero,1,1,2015,2015-01-01,2,4
La romana,Otros,NO RESIDENTES,Asia,Enero,6,1,2015,2015-01-01,2,4
La romana,Alemania,NO RESIDENTES,Europa,Enero,45,1,2015,2015-01-01,2,5
La romana,Austria,NO RESIDENTES,Europa,Enero,1,1,2015,2015-01-01,2,5
La romana,Bélgica,NO RESIDENTES,Europa,Enero,0,1,2015,2015-01-01,2,5
La romana,Bulgaria,NO RESIDENTES,Europa,Enero,1,1,2015,2015-01-01,2,5
La romana,Dinamarca,NO RESIDENTES,Europa,Enero,4,1,2015,2015-01-01,2,5
La romana,Escocia,NO RESIDENTES,Europa,Enero,0,1,2015,2015-01-01,2,5
La romana,España,NO RESIDENTES,Europa,Enero,4,1,2015,2015-01-01,2,5
La romana,Finlandia,NO RESIDENTES,Europa,Enero,1,1,2015,2015-01-01,2,5
La romana,Francia,NO RESIDENTES,Europa,Enero,17,1,2015,2015-01-01,2,5
La romana,Grecia,NO RESIDENTES,Europa,Enero,2,1,2015,2015-01-01,2,5
La romana,Holanda,NO RESIDENTES,Europa,Enero,27,1,2015,2015-01-01,2,5
La romana,Hungría,NO RESIDENTES,Europa,Enero,1,1,2015,2015-01-01,2,5
La romana,Inglaterra,NO RESIDENTES,Europa,Enero,12,1,2015,2015-01-01,2,5
La romana,Irlanda,NO RESIDENTES,Europa,Enero,3,1,2015,2015-01-01,2,5
La romana,Italia,NO RESIDENTES,Europa,Enero,6958,1,2015,2015-01-01,2,5
La romana,Luxemburgo,NO RESIDENTES,Europa,Enero,0,1,2015,2015-01-01,2,5
La romana,Noruega,NO RESIDENTES,Europa,Enero,0,1,2015,2015-01-01,2,5
La romana,Polonia,NO RESIDENTES,Europa,Enero,718,1,2015,2015-01-01,2,5
