"aeropuerto","nacionalidad","total","enero","febrero","marzo","abril","mayo","junio","julio","agosto","septiembre","octubre","noviembre","diciembre"
NA,NA,NA,"ENE.","FEB.","MAR.","ABR.","MAY.","JUN.","JUL.","AGO.","SEP.","OCT.","NOV.","DIC."
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"Luxemburgo","80","4","0","4","16","4","0","12","8","0","8","12","12"
NA,"Noruega","692","76","84","76","24","60","48","72","28","44","44","40","96"
NA,"Polonia","1461","175","196","108","160","161","128","72","68","72","100","120","101"
NA,"Portugal","2907","237","224","380","308","266","176","252","188","154","248","260","214"
NA,"República Checa","796","80","100","132","96","88","44","28","28","16","52","56","76"
NA,"Rumania","424","60","28","84","28","8","20","24","44","24","32","40","32"
NA,"Rusia","5727","281","316","336","300","213","172","188","152","108","626","1317","1718"
NA,"Suecia","813","116","92","104","64","56","56","28","28","28","36","56","149"
NA,"Suiza","5014","389","464","552","476","242","300","776","192","218","261","473","671"
NA,"Ucrania","1694","128","160","200","156","88","56","96","88","84","100","332","206"
NA,"Otros","1048","68","92","116","100","88","80","84","64","24","88","148","96"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"RESTO DEL MUNDO","1916","148","168","240","164","120","152","180","136","76","124","180","228"
NA,"Australia","872","100","84","112","64","56","48","68","80","28","44","76","112"
NA,"Otros","1044","48","84","128","100","64","104","112","56","48","80","104","116"
NA,"*Cifras sujetas a rectificación.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LLEGADA MENSUAL DE PASAJEROS VIA AEREA, SEGUN  NACIONALIDAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AEROPUERTO INTERNACIONAL DE PUERTO PLATA, 2018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"NACIONALIDAD","TOTAL","M E S E S *",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"ENE.","FEB.","MAR.","ABR.","MAY.","JUN.","JUL.","AGO.","SEP.","OCT.","NOV.","DIC."
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"TOTAL","438935","58297","54591","59097","43642","23197","24934","32021","27267","19304","21733","27879","46973"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"RESIDENTES","9906","1258","584","640","709","577","614","1088","1211","844","752","731","898"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"DOMINICANOS","8461","1156","497","532","586","459","499","956","1053","701","597","625","800"
NA,"EXTRANJEROS","1445","102","87","108","123","118","115","132","158","143","155","106","98"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"NO RESIDENTES","429029","57039","54007","58457","42933","22620","24320","30933","26056","18460","20981","27148","46075"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"DOMINICANOS","21461","1724","1348","1757","1413","1123","1808","3046","1990","1347","1087","1033","3785"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"EXTRANJEROS","407568","55315","52659","56700","41520","21497","22512","27887","24066","17113","19894","26115","42290"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AMERICA DEL NORTE","302373","39727","39248","43862","32438","15548","17846","20174","17089","10213","13301","19557","33370"
NA,"Canadá","173105","28434","27591","29296","19492","6478","5893","7110","6743","3818","5402","10991","21857"
NA,"Estados Unidos","129012","11277","11587","14552","12942","9052","11945","13025","10340","6379","7864","8552","11497"
NA,"México","256","16","70","14","4","18","8","39","6","16","35","14","16"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AMERICA CENTRAL Y EL CARIBE","3218","142","101","268","141","212","443","872","305","239","171","155","169"
NA,"Aruba","0","0","0","0","0","0","0","0","0","0","0","0","0"
NA,"Caicos y Turcas, Islas","383","32","22","28","41","36","34","22","58","48","16","19","27"
NA,"Costa Rica","17","2","3","0","2","2","0","0","0","3","2","2","1"
NA,"Cuba","9","1","2","0","0","1","1","1","2","0","1","0","0"
NA,"Curazao","2","0","0","0","0","0","0","0","1","1","0","0","0"
NA,"El Salvador","203","12","5","6","11","28","13","31","7","29","10","20","31"
NA,"Guadalupe","0","0","0","0","0","0","0","0","0","0","0","0","0"
NA,"Guatemala","50","2","3","1","1","8","3","3","3","12","6","4","4"
NA,"Haití","226","17","7","13","12","25","6","26","28","21","19","22","30"
NA,"Honduras","24","8","0","1","0","5","1","1","4","0","3","1","0"
NA,"Jamaica","515","29","26","31","39","38","53","80","25","60","51","45","38"
NA,"Martinica","0","0","0","0","0","0","0","0","0","0","0","0","0"
NA,"Panamá","22","3","2","1","0","2","2","0","0","8","0","2","2"
NA,"Puerto  Rico","440","0","1","0","1","1","286","145","2","1","3","0","0"
NA,"San Martin","0","0","0","0","0","0","0","0","0","0","0","0","0"
NA,"Trinidad y Tobago","1001","16","13","172","14","29","10","519","144","25","20","20","19"
NA,"Virgenes Americanas, Islas","4","0","0","0","0","1","0","3","0","0","0","0","0"
NA,"Otros","322","20","17","15","20","36","34","41","31","31","40","20","17"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"AMERICA DEL SUR","1913","173","147","127","95","244","180","298","67","200","141","90","151"
NA,"Argentina","308","38","29","12","15","72","18","54","7","22","20","4","17"
NA,"Bolivia","14","1","0","0","0","0","1","2","0","6","0","0","4"
NA,"Brasil","206","15","26","19","14","16","9","38","6","6","21","8","28"
NA,"Chile","260","16","15","6","7","26","14","55","1","38","30","16","36"
NA,"Colombia","258","31","16","30","8","31","19","33","14","28","17","20","11"
NA,"Ecuador","201","17","4","8","12","15","59","32","11","18","8","10","7"
NA,"Perú","141","12","25","10","4","10","8","16","4","31","7","3","11"
NA,"Uruguay","39","0","7","1","4","5","1","7","4","2","6","0","2"
NA,"Venezuela","118","17","5","3","16","15","10","14","2","8","7","9","12"
NA,"Otros","368","26","20","38","15","54","41","47","18","41","25","20","23"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"ASIA","2501","268","246","172","155","197","166","194","98","241","169","166","429"
NA,"China","447","42","65","32","31","13","13","13","15","28","32","12","151"
NA,"Corea del Sur","126","16","10","5","3","3","9","21","20","13","5","9","12"
NA,"India","510","46","52","36","38","49","23","23","17","70","24","47","85"
NA,"Israel","179","12","13","23","11","13","20","30","6","16","9","5","21"
NA,"Japón","56","8","6","5","2","5","1","2","0","4","3","2","18"
NA,"Taiwan","36","8","0","0","6","6","0","2","4","6","1","2","1"
NA,"Otros","1147","136","100","71","64","108","100","103","36","104","95","89","141"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"EUROPA","96696","14899","12836","12175","8620","5224","3848","6272","6427","6157","6054","6099","8085"
NA,"Alemania","34645","3702","3436","4276","3679","2374","1927","2126","2707","2874","2771","2666","2107"
NA,"Austria","938","165","154","94","47","48","26","122","43","82","78","23","56"
NA,"Bélgica","1209","25","28","53","32","16","16","46","17","14","133","343","486"
NA,"Bulgaria","179","39","25","12","13","27","12","20","3","2","8","5","13"
NA,"Dinamarca","1290","534","241","305","1","4","1","22","2","0","5","2","173"
NA,"Escocia","17","1","5","0","1","1","0","0","1","2","4","2","0"
NA,"España","298","33","24","29","18","17","12","29","19","24","27","24","42"
NA,"Finlandia","3589","829","1205","675","6","2","4","4","2","1","6","15","840"
NA,"Francia","6548","1745","1099","1164","902","59","47","763","407","34","70","108","150"
NA,"Grecia","64","3","8","3","4","3","3","9","2","8","4","16","1"
NA,"Holanda","645","57","66","46","46","21","11","74","22","15","55","124","108"
NA,"Hungría","198","49","49","12","10","7","12","6","10","12","9","18","4"
NA,"Inglaterra","16988","3215","2309","2023","2149","1212","1197","1210","1411","1173","856","112","121"
NA,"Irlanda","140","13","18","11","4","10","8","17","6","8","12","4","29"
NA,"Italia","1304","240","194","90","92","57","42","111","85","76","90","97","130"
NA,"Luxemburgo","41","3","2","9","12","2","2","1","1","0","2","1","6"
NA,"Noruega","833","352","313","25","6","8","11","48","7","2","31","8","22"
NA,"Polonia","2589","168","131","130","149","89","41","45","46","69","79","801","841"
NA,"Portugal","395","62","64","36","50","10","13","39","9","20","33","22","37"
NA,"República Checa","512","91","119","81","30","23","16","9","17","35","47","25","19"
NA,"Rumania","299","49","58","25","9","31","9","13","17","31","13","13","31"
NA,"Rusia","13399","532","960","961","951","995","312","1198","1472","1497","1467","1493","1561"
NA,"Suecia","7368","2590","1806","1748","126","5","3","29","27","7","17","20","990"
NA,"Suiza","1477","188","235","151","148","69","62","272","26","70","122","36","98"
NA,"Ucrania","658","88","102","24","73","67","16","14","25","57","44","70","78"
NA,"Otros","1073","126","185","192","62","67","45","45","43","44","71","51","142"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"RESTO DEL MUNDO","867","106","81","96","71","72","29","77","80","63","58","48","86"
NA,"Australia","426","67","59","64","49","17","13","17","44","10","22","17","47"
NA,"Otros","441","39","22","32","22","55","16","60","36","53","36","31","39"
NA,"*Cifras sujetas a rectificación.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LLEGADA MENSUAL DE PASAJEROS VIA AEREA, SEGUN  NACIONALIDAD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AEROPUERTO INTERNACIONAL DE PUNTA CANA, 2018",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"NACIONALIDAD","TOTAL","M E S E S *",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"ENE.","FEB.","MAR.","ABR.","MAY.","JUN.","JUL.","AGO.","SEP.","OCT.","NOV.","DIC."
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"TOTAL","3944536","348895","337754","406170","347564","316362","358002","405619","322150","212421","244086","288010","357503"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"RESIDENTES","23185","3472","1018","1302","1540","1030","1471","2910","2640","1905","1499","1600","2798"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"DOMINICANOS","22783","3440","955","1257","1508","1008","1434","2892","2633","1865","1454","1579","2758"
NA,"EXTRANJEROS","402","32","63","45","32","22","37","18","7","40","45","21","40"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"NO RESIDENTES","3921351","345423","336736","404868","346024","315332","356531","402709","319510","210516","242587","286410","354705"
